,start,stop,topic,laugh
0,0,28,intro,0
0,28,49,getting older,2.0
0,49,62,jealousy,2.0
0,62,85,metabolism,4.0
0,85,96,inner thigh clearance,2.5
0,96,114,sleep,5.5
0,114,154,hpv,10.5
0,154,176,men and hpv,6.5
0,176,197,doctor and hpv,3.5
0,197,233,self-help,9.0
0,233,274,hoarding,6.75
0,274,286,blaming mom,3.0
0,286,317,San Fransisco,6.5
0,317,350,calculator,6.5
0,350,383,San Fransisco,11.0
0,383,398,getting older,2.0
0,398,415,marriage,4.5
0,415,442,lucky,5.75
0,442,445,skaters,0.0
0,445,472,met husband,5.5
0,472,516,trap men,6.0
0,516,551,homeless,15.5
0,551,554,hipsters,1.5
0,554,574,homeless,8.75
0,574,627,Asian husband,9.75
0,627,632,white guys,0.0
0,632,676,hooking up,5.5
0,676,721,racist,20.5
0,721,745,korean,7.0
0,745,773,cuban,9.5
0,773,794,sexiest,5.5
0,794,802,hair,0.0
0,802,826,jewish,10.0
0,826,851,odor,8.5
0,851,871,racial bond,6.5
0,871,910,growing up,7.0
0,910,923,Vietnamese,1.5
0,923,950,restaurant,6.0
0,950,990,hippies,11.25
0,990,1012,gluten,0.5
0,1012,1045,white people,10.0
0,1045,1088,engagement,9.5
0,1088,1114,proposing,4.0
0,1114,1169,pinterest,12.5
0,1169,1203,dress,8.5
0,1203,1229,not working,5.25
0,1229,1237,dependent,0.0
0,1237,1292,feminism,12.0
0,1292,1295,lean in,0.0
0,1295,1334,play dumb,7.5
0,1334,1381,feminism,11.25
0,1381,1395,options,2.5
0,1395,1421,feminism,4.0
0,1421,1433,housewives,6.5
0,1433,1461,office,6.5
0,1461,1493,toilet cover,0.25
0,1493,1513,toilet paper,6.0
0,1513,1559,rushed wipe,12.0
0,1559,1596,muffle,9.75
0,1596,1650,cowokers,7.0
0,1650,1694,father-in-law,11.0
0,1694,1744,diet,6.0
0,1744,1766,marriage,9.0
0,1766,1777,pervert,0.0
0,1777,1785,porn,0.0
0,1785,1810,anal,4.5
0,1810,1818,craigslist,0.0
0,1818,1844,scared,6.25
0,1844,1878,brag,5.25
0,1878,1894,sex experimentation,2.5
0,1894,1944,prostate,7.75
0,1944,1973,prostate resistance,1.5
0,1973,2008,power turn-on,6.0
0,2008,2047,rough sex,14.0
0,2047,2074,strong women,4.75
0,2074,2103,control,9.5
0,2103,2157,bossy,13.5
0,2157,2197,housewife,3.25
0,2197,2210,whole foods,0.0
0,2210,2240,sidewalk,7.25
0,2240,2258,paintball,5.0
0,2258,2277,pregnancy,8.5
0,2277,2286,female comics,0.0
0,2286,2309,male comics,3.0
0,2309,2335,mom,0.75
0,2335,2346,male comics,2.0
0,2346,2352,discouraged,5.5
0,2352,2365,stay at home,0.0
0,2365,2388,why pregnant,3.25
0,2388,2412,asian women,0.0
0,2412,2440,bad drivers,7.5
0,2440,2524,asian women,19.75
0,2524,2529,mom,0.0
0,2529,2571,support,9.0
0,2571,2582,recycle,0.0
0,2582,2645,pregnancy,17.0
0,2645,2654,pregnant body,0.0
0,2654,2658,wet,0.0
0,2658,2719,plan b,17.75
0,2719,2743,pills,3.0
0,2743,2774,itchy,2.0
0,2774,2790,smell fingers,4.0
0,2790,2846,making babies,11.25
0,2846,2860,clinical sex,0.0
0,2860,2864,ovulation,0.0
0,2864,2882,sperm,1.5
0,2882,2902,clinical sex,7.25
0,2902,2904,tired,0.0
0,2904,2918,closing eyes,0.0
0,2918,2956,orgasm,3.5
0,2956,2983,hippies,8.5
0,2983,2990,conception,1.5
0,2990,3025,miscarriage,15.25
0,3025,3057,mom,0.0
0,3057,3071,doctor,1.75
0,3071,3111,husband watches,6.5
0,3111,3126,relationship leverage,2.5
0,3126,3152,childbirth,4.0
0,3152,3155,doula,0.0
0,3155,3177,poop,4.75
0,3177,3235,marriage toll,14.25
0,3235,3239,chores,0.0
0,3239,3268,double standard,4.5
0,3268,3320,berate,8.75
0,3320,3353,body,3.0
0,3353,3358,nipples,0.0
0,3358,3384,exercise,7.0
0,3384,3408,wet,5.0
0,3408,3442,conclusion,6.0
0,3442,3465,debt,0.0
0,3465,3532,conclusion,17.5
