topic,reference,times,group
metabolism,getting older,1,getting older
sleep,getting older,1,getting older
blaming mom,hoarding,2,getting older
hpv,men and hpv,1,getting older
getting older,self help,1,getting older
marriage,hpv,1,marriage
hipsters,Dating losers,1,marriage
hipsters,homeless,1,marriage
homeless,dating losers,1,marriage
Asian Husband,met husband,1,marriage
hooking up,white guy,1,marriage
Korean,Asian husband,1,marriage
Cuban,racist,1,marriage
sexiest,Asian husband,1,marriage
hair,Asian husband,1,Asian
Odor,Asian husband,1,Asian
Vietnamese,Asian husband,1,Asian
Hipsters,Asian husband,1,Asian
white people,Vietnamese,1,Asian
white people,hipsters,1,Asian
engagement,trap partner,1,working
proposing,trap partner,1,working
pinterest,pinterest,1,working
dress,trap partner,1,working
dependent,trap partner,1,working
lay down,dependent,1,working
play dumb,dependent,1,working
feminism,dependent,1,working
options,feminism,1,working
options,dependent,1,working
housewives,lay down,1,working
muffle,housewives,1,toilet paper
muffle,lay down,1,toilet paper
coworkers,muffle,1,toilet paper
father-in-law,Asian husband,1,working
father-in-law,trap partner,1,working
father-in-law,lay down,1,working
diet,housewives,1,working
diet,lay down,1,working
porn,dating losers,1,sex
anal,porn,1,sex
craigslist,anal,1,sex
brag,anal,1,sex
sex experimentation,anal,1,sex
strong women,housewives,1,working
control,bossy,1,working
bossy,lay down,1,working
white people,housewives,1,working
male comics,double standard,1,pregnancy
mom,double standard,1,pregnancy
stay at home,housewives,1,pregnancy
stay at home,lay down,1,pregnancy
preganancy,asian women,2,pregnancy
bad drivers,asian women,2,pregnancy
mom,asian women,1,pregnancy
support,preganancy,1,pregnancy
support,lay down,1,pregnancy
recycle,support,1,pregnancy
preganancy,getting older,2,pregnancy
wet,getting older,3,pregnancy
preganancy,dating losers,1,pregnancy
smell fingers,preganancy,1,pregnancy
smell fingers,housewives,1,pregnancy
preganancy,clinical sex,1,pregnancy
closing eyes,clinical sex,2,pregnancy
orgasm,closing eyes,1,pregnancy
orgasm,hipsters,1,pregnancy
conception,lay down,2,working
doctor,miscarriage,1,working
husband watches,Asian husband,1,working
husband watches,double standard,1,pregnancy
relationship leverage,trap partner,1,working
miscarriage,relationship leverage,1,pregnancy
poop,muffle,1,toilet paper
poop,trap partner,1,miscarriage
double standard,preganancy,1,miscarriage
berate,trap partner,1,working
poop,preganancy,2,working
berate,preganancy,1,working
conclusion,met husband,1,working
conclusion,Asian husband,1,marriage
conclusion,trap partner,1,working
conclusion,preganancy,1,pregnancy
debt,trap partner,1,working
debt,dependent,1,marriage
debt,housewives,1,pregnancy
