,0
0,play dumb
1,wet
2,feminism
3,asian women
4,Odor
5,housewives
6,doctor
7,debt
8,homeless
9,hoarding
10,lean in
11,miscarriage
12,pinterest
13,hair
14,met husband
15,dress
16,Asian Husband
17,proposing
18,marriage
19,dating losers
20,bossy
21,dependent
22,smell fingers
23,Asian husband
24,craigslist
25,trap men
26,sleep
27,mom
28,white people
29,hpv
30,sexiest
31,strong women
32,blaming mom
33,sex experimentation
34,conception
35,white guy
36,conclusion
37,self help
38,berate
39,Dating losers
40,hooking up
41,closing eyes
42,clinical sex
43,orgasm
44,male comics
45,coworkers
46,control
47,preganancy
48,husband watches
49,bad drivers
50,hipsters
51,Hipsters
52,Korean
53,options
54,racist
55,recycle
56,getting older
57,double standard
58,metabolism
59,brag
60,diet
61,engagement
62,muffle
63,Cuban
64,father-in-law
65,porn
66,anal
67,support
68,Vietnamese
69,relationship leverage
70,poop
71,stay at home
